City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iqaluit,63.7506,-68.5145,-1.15,58,100,1.03,CA,1697597005
1,puerto natales,-51.7236,-72.4875,4.9,91,76,1.71,CL,1697597006
2,mil'kovo,55.6078,37.7956,4.08,84,33,5.63,RU,1697597006
3,papatowai,-46.5619,169.4708,15.13,59,82,7.99,NZ,1697597006
4,madang,-5.2246,145.7966,30.41,65,37,3.36,PG,1697597006
5,port elizabeth,-33.918,25.5701,18.51,77,0,2.68,ZA,1697597007
6,taoudenni,22.6783,-3.9836,29.49,15,0,3.26,ML,1697597007
7,klyuchi,52.2667,79.1667,9.37,43,11,3.26,RU,1697597007
8,wailua homesteads,22.0669,-159.378,28.24,71,100,2.57,US,1697597007
9,waitangi,-43.9535,-176.5597,12.12,74,29,4.02,NZ,1697597007
10,callao,-12.0667,-77.15,20.95,82,75,6.17,PE,1697597008
11,isafjordur,66.0755,-23.124,6.77,93,100,7.12,IS,1697597008
12,thompson,55.7435,-97.8558,5.09,87,20,1.54,CA,1697596939
13,kirensk,57.7853,108.1119,0.57,95,99,0.89,RU,1697597008
14,tiksi,71.6872,128.8694,-14.52,100,100,1.56,RU,1697597010
15,west island,-12.1568,96.8225,26.99,78,40,6.69,CC,1697597010
16,haiku-pauwela,20.9219,-156.3051,30.01,52,20,2.06,US,1697597010
17,cidreira,-30.1811,-50.2056,15.07,76,90,4.6,BR,1697597010
18,rundu,-17.9333,19.7667,17.93,14,75,2.72,NA,1697597011
19,grytviken,-54.2811,-36.5092,2.01,88,86,5.39,GS,1697597011
20,alofi,-19.0595,-169.9187,24.94,57,75,10.8,NU,1697597011
21,udachny,66.4167,112.4,-9.4,86,94,6.94,RU,1697597011
22,koungou,-12.7336,45.2042,26.84,78,75,4.12,YT,1697597012
23,albany,42.6001,-73.9662,11.36,89,19,1.85,US,1697596505
24,saipan,15.1355,145.701,30.39,79,0,6.17,MP,1697597012
25,hermanus,-34.4187,19.2345,15.21,92,0,2.86,ZA,1697597012
26,port-aux-francais,-49.35,70.2167,2.5,75,99,5.89,TF,1697597012
27,sydney,-33.8679,151.2073,21.86,52,20,5.14,AU,1697596558
28,kota belud,6.351,116.4305,31.93,56,32,2.12,MY,1697597013
29,adamstown,-25.066,-130.1015,22.15,88,100,3.04,PN,1697597013
30,dwarka,22.2394,68.9678,27.04,73,0,3.53,IN,1697597013
31,dudinka,69.4058,86.1778,-0.18,98,100,2.68,RU,1697597013
32,longyearbyen,78.2186,15.6401,-7.09,73,40,6.17,SJ,1697596760
33,nyagan,62.1406,65.3936,8.01,82,21,5.06,RU,1697597014
34,cabo san lucas,22.8909,-109.9124,30.17,58,0,2.06,MX,1697596353
35,hadibu,12.65,54.0333,27.1,75,27,2.04,YE,1697597014
36,ataq,14.5377,46.8319,19.42,68,1,3.04,YE,1697597015
37,atafu village,-8.5421,-172.5159,28.57,72,100,2.38,TK,1697597015
38,bandar,2.05,99.75,29.95,65,38,1.18,ID,1697597015
39,kodiak,57.79,-152.4072,8.73,81,100,4.63,US,1697597015
40,dongcun,36.7767,121.1597,20.84,72,100,5.44,CN,1697597015
